epoch,correct-output,test-loss,unsatisfied,examples,crispness,crisp-widths,preconditions,consequent,total
31,0.9740999937057495,0.017190180718898773,266.3324279785156,120.03722381591797,4745.25048828125,0.2697722911834717,377.9167175292969,209261.765625,5520000.0
32,0.9718999862670898,0.017192425206303596,242.30735778808594,119.3714370727539,4371.234375,0.26977476477622986,353.8608703613281,209265.0,5520000.0
33,0.9734999537467957,0.017189474776387215,228.3881378173828,120.99910736083984,4014.80859375,0.2697722911834717,341.5456237792969,209284.109375,5520000.0
34,0.9733999967575073,0.01719079166650772,220.37945556640625,133.5419464111328,3698.916015625,0.2697698473930359,345.82464599609375,209296.953125,5520000.0
35,0.9736999869346619,0.017189713194966316,209.69961547851562,120.7031478881836,3416.03662109375,0.2697722911834717,323.6934509277344,209252.78125,5520000.0
36,0.9732999801635742,0.017189012840390205,197.89842224121094,116.46976470947266,3157.10205078125,0.2697722911834717,307.3960266113281,209319.046875,5520000.0
37,0.974399983882904,0.017190292477607727,191.98968505859375,117.28343200683594,2929.461669921875,0.2697722911834717,303.00970458984375,209250.796875,5520000.0
38,0.9749999642372131,0.01718846708536148,176.8234100341797,107.88106536865234,2715.437744140625,0.26977476477622986,278.0877380371094,209285.921875,5520000.0
39,0.9756999611854553,0.01718822494149208,180.97494506835938,121.12669372558594,2527.903076171875,0.26977476477622986,295.46649169921875,209257.609375,5520000.0
40,0.9754999876022339,0.01718847267329693,170.1146697998047,115.60934448242188,2353.207275390625,0.26977476477622986,279.7188415527344,209236.1875,5520000.0
41,0.9754999876022339,0.01718861423432827,157.60610961914062,104.0091323852539,2191.7568359375,0.26977476477622986,256.4131164550781,209231.65625,5520000.0
42,0.9757999777793884,0.01718832179903984,164.016357421875,114.62564086914062,2046.1771240234375,0.2697722911834717,272.79327392578125,209260.53125,5520000.0
43,0.9751999974250793,0.01718825101852417,146.88720703125,108.89037322998047,1915.32373046875,0.2697722911834717,249.8206329345703,209220.734375,5520000.0
44,0.9757999777793884,0.017187997698783875,146.84567260742188,96.36735534667969,1788.62939453125,0.2697722911834717,238.41297912597656,209251.421875,5520000.0
